ITEM_EQUIP_ID,NAME,NAME_SHORT,RARE,EQUIP_TYPE,SEX,ELEM,PARAMETER_INFO,RESIST_ELEM_INFO,RESIST_STATUS_INFO,PASSIVE_SKILL_INFO,UNIT_DRESS_ID,EXT_PARAM,SERIAL_NUM,ICON_AB_ID,SWITCH_ID,MAX_LV,EQUIP_GROWTH_TYPE,PARAMETER_MAX_INFO,EQUIP_ENHANCE_ID,SORT_ORDER,EVENT_BOOST_PASSIVE_SKILL_INFO,sheet
101001,Migalian Sword,Migalian Sword,1,10,0,0,0:0:13:0:0:0,0:0:0:0:0:0,0:0:0:0:0:0,0,0,,100010,1200000,2000001,40,0,0:0:112:0:0:0,0,1010010,0,82774742
101002,Imperial Army Sword,Imperial Army Sword,2,10,0,0,0:0:22:0:0:0,0:0:0:0:0:0,0:0:0:0:0:0,0,0,,100020,1200000,2000002,0,0,0:0:22:0:0:0,0,1010020,0,1164601217
101003,"Cursed Blade, Muramasa","Cursed Blade, Muramasa",5,10,0,6,0:0:133:0:0:0,0:0:0:0:0:0,0:0:0:0:0:0,1010030,0,,100030,1200000,2000003,40,0,0:0:232:0:0:0,0,1010030,0,3390041310
101004,Badaal Sword,Badaal Sword,3,10,0,0,0:0:41:0:0:0,0:0:0:0:0:0,0:0:0:0:0:0,0,0,,100040,1200000,2000004,0,0,0:0:41:0:0:0,0,1010040,0,1754717676
101005,"Sword of Ruin, Zeksis","Sword of Ruin, Zeksis",4,10,0,0,0:0:98:0:0:0,0:0:0:0:0:0,0:0:0:0:0:0,1010050,0,,100050,1200000,2000005,40,0,0:0:197:0:0:0,0,1010050,0,2876876518
101006,Ice Dagger,Ice Dagger,3,10,0,2,0:0:35:0:0:0,0:0:0:0:0:0,0:0:0:0:0:0,0,0,,100060,1200000,2000006,0,0,0:0:35:0:0:0,0,1010060,0,2015307559
101007,"Flame Sword, Salamander","Flame Sword, Salamander",4,10,0,1,0:0:94:0:0:0,0:0:0:0:0:0,0:0:0:0:0:0,1010070,0,,100070,1200000,2000007,40,0,0:0:193:0:0:0,0,1010070,0,2792335333
101008,Blaze Blade,Blaze Blade,4,10,0,0,0:0:74:0:0:0,0:0:0:0:0:0,0:0:0:0:0:0,0,0,,100080,1200000,2000008,40,0,0:0:173:0:0:0,0,1010080,0,3231702515
101009,Death Bringer,Death Bringer,4,10,0,0,0:0:93:0:0:0,0:0:0:0:0:0,0:0:0:0:0:0,1010090,0,,100090,1200000,2000274,0,0,0:0:93:0:0:0,0,1010090,0,3165161891
101010,Mithril Sword,Mithril Sword,4,10,0,0,0:0:81:0:0:0,0:0:0:0:0:0,0:0:0:0:0:0,1010100,0,,100100,1200000,2000275,40,0,0:0:180:0:0:0,0,1010100,0,2315401322
101011,Sacred Sword Excalibur,Sacred Sword Excalibur,5,10,0,5,0:0:140:0:0:0,0:0:0:0:0:0,0:0:0:0:0:0,1010110,0,,100110,1200000,2000009,40,0,0:0:239:0:0:0,0,1010110,0,850971587
101012,Treasured Sword Eliud,Treasured Sword Eliud,5,10,0,2,0:0:129:0:0:0,0:0:0:0:0:0,0:0:0:0:0:0,1010120,0,,100120,1200000,2000010,40,0,0:0:228:0:0:0,0,1010120,0,251305107
101013,Golden Sword,Golden Sword,5,10,0,0,0:0:92:0:0:0,0:0:0:0:0:0,0:0:0:0:0:0,0,0,,100130,1200000,2000011,0,0,0:0:92:0:0:0,0,1010130,0,2968411839
